Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
Poppy Seeds - Grains & Seeds | POPPY SEEDS | CA$8.99
Baking Nuts - Baking | CASHEW PIECES, SMALL SIZE | CA$8.99
Baking Nuts - Baking | DICED ALMONDS | CA$12.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$18.49
